date,open,high,low,close
"Oct 30, 2017",6114.85,6214.99,6040.85,6130.53
"Oct 31, 2017",6132.02,6470.43,6103.33,6468.4
"Nov 01, 2017",6440.97,6767.31,6377.88,6767.31
"Nov 02, 2017",6777.77,7367.33,6758.72,7078.5
"Nov 03, 2017",7087.53,7461.29,7002.94,7207.76
"Nov 04, 2017",7164.48,7492.86,7031.28,7379.95
"Nov 05, 2017",7404.52,7617.48,7333.19,7407.41
"Nov 06, 2017",7403.22,7445.77,7007.31,7022.76
"Nov 07, 2017",7023.1,7253.32,7023.1,7144.38
"Nov 08, 2017",7141.38,7776.42,7114.02,7459.69
"Nov 09, 2017",7446.83,7446.83,7101.52,7143.58
"Nov 10, 2017",7173.73,7312.0,6436.87,6618.14
"Nov 11, 2017",6618.61,6873.15,6204.22,6357.6
"Nov 12, 2017",6295.45,6625.05,5519.01,5950.07
"Nov 13, 2017",5938.25,6811.19,5844.29,6559.49
"Nov 14, 2017",6561.48,6764.98,6461.75,6635.75
"Nov 15, 2017",6634.76,7342.25,6634.76,7315.54
"Nov 16, 2017",7323.24,7967.38,7176.58,7871.69
"Nov 17, 2017",7853.57,8004.59,7561.09,7708.99
"Nov 18, 2017",7697.21,7884.99,7463.44,7790.15
"Nov 19, 2017",7766.03,8101.91,7694.1,8036.49
"Nov 20, 2017",8039.07,8336.86,7949.36,8200.64
"Nov 21, 2017",8205.74,8348.66,7762.71,8071.26
"Nov 22, 2017",8077.95,8302.26,8075.47,8253.55
"Nov 23, 2017",8232.38,8267.4,8038.77,8038.77
"Nov 24, 2017",8074.02,8374.16,7940.93,8253.69
"Nov 25, 2017",8241.71,8790.92,8191.15,8790.92
"Nov 26, 2017",8789.04,9522.93,8775.59,9330.55
"Nov 27, 2017",9352.72,9818.35,9352.72,9818.35
"Nov 28, 2017",9823.43,10125.7,9736.3,10058.8
"Nov 29, 2017",10077.4,11517.4,9601.03,9888.61
"Nov 30, 2017",9906.79,10801.0,9202.05,10233.6
"Dec 01, 2017",10198.6,11046.7,9694.65,10975.6
"Dec 02, 2017",10978.3,11320.2,10905.1,11074.6
"Dec 03, 2017",11082.7,11858.7,10862.0,11323.2
"Dec 04, 2017",11315.4,11657.2,11081.8,11657.2
"Dec 05, 2017",11685.7,12032.0,11604.6,11916.7
"Dec 06, 2017",11923.4,14369.1,11923.4,14291.5
"Dec 07, 2017",14266.1,17899.7,14057.3,17899.7
"Dec 08, 2017",17802.9,18353.4,14336.9,16569.4
"Dec 09, 2017",16523.3,16783.0,13674.9,15178.2
"Dec 10, 2017",15168.4,15850.6,13226.6,15455.4
"Dec 11, 2017",15427.4,17513.9,15404.8,16936.8
"Dec 12, 2017",16919.8,17781.8,16571.6,17415.4
"Dec 13, 2017",17500.0,17653.1,16039.7,16408.2
"Dec 14, 2017",16384.6,17085.8,16185.9,16564.0
"Dec 15, 2017",16601.3,18154.1,16601.3,17706.9
"Dec 16, 2017",17760.3,19716.7,17515.3,19497.4
"Dec 17, 2017",19475.8,20089.0,18974.1,19140.8
"Dec 18, 2017",19106.4,19371.0,18355.9,19114.2
"Dec 19, 2017",19118.3,19177.8,17275.4,17776.7
"Dec 20, 2017",17760.3,17934.7,16077.7,16624.6
"Dec 21, 2017",16642.4,17567.7,15342.7,15802.9
"Dec 22, 2017",15898.0,15943.4,11833.0,13831.8
"Dec 23, 2017",13948.7,15603.2,13828.8,14699.2
"Dec 24, 2017",14608.2,14626.0,12747.7,13925.8
"Dec 25, 2017",13995.9,14593.0,13448.9,14026.6
"Dec 26, 2017",14036.6,16461.2,14028.9,16099.8
"Dec 27, 2017",16163.5,16930.9,15114.3,15838.5
"Dec 28, 2017",15864.1,15888.4,13937.3,14606.5
"Dec 29, 2017",14695.8,15279.0,14307.0,14656.2
"Dec 30, 2017",14681.9,14681.9,12350.1,12952.2
"Dec 31, 2017",12897.7,14377.4,12755.6,14156.4
"Jan 01, 2018",14112.2,14112.2,13154.7,13657.2
"Jan 02, 2018",13625.0,15444.6,13163.6,14982.1
"Jan 03, 2018",14978.2,15572.8,14844.5,15201.0
"Jan 04, 2018",15270.7,15739.7,14522.2,15599.2
"Jan 05, 2018",15477.2,17705.2,15202.8,17429.5
"Jan 06, 2018",17462.1,17712.4,16764.6,17527.0
"Jan 07, 2018",17527.3,17579.6,16087.7,16477.6
"Jan 08, 2018",16476.2,16537.9,14208.2,15170.1
"Jan 09, 2018",15123.7,15497.5,14424.0,14595.4
"Jan 10, 2018",14588.5,14973.3,13691.2,14973.3
"Jan 11, 2018",14968.2,15018.8,13105.9,13405.8
"Jan 12, 2018",13453.9,14229.9,13158.1,13980.6
"Jan 13, 2018",13952.4,14659.5,13952.4,14360.2
"Jan 14, 2018",14370.8,14511.8,13268.0,13772.0
"Jan 15, 2018",13767.3,14445.5,13641.7,13819.8
"Jan 16, 2018",13836.1,13843.1,10194.9,11490.5
"Jan 17, 2018",11431.1,11678.0,9402.29,11188.6
"Jan 18, 2018",11198.8,12107.3,10942.5,11474.9
"Jan 19, 2018",11429.8,11992.8,11172.1,11607.4
"Jan 20, 2018",11656.2,13103.0,11656.2,12899.2
"Jan 21, 2018",12889.2,12895.9,11288.2,11600.1
"Jan 22, 2018",11633.1,11966.4,10240.2,10931.4
"Jan 23, 2018",10944.5,11377.6,10129.7,10868.4
"Jan 24, 2018",10903.4,11501.4,10639.8,11359.4
"Jan 25, 2018",11421.7,11785.7,11057.4,11259.4
"Jan 26, 2018",11256.0,11656.7,10470.3,11171.4
"Jan 27, 2018",11174.9,11614.9,10989.2,11440.7
"Jan 28, 2018",11475.3,12040.3,11475.3,11786.3
"Jan 29, 2018",11755.5,11875.6,11179.2,11296.4
"Jan 30, 2018",11306.8,11307.2,10036.2,10106.3
"Jan 31, 2018",10108.2,10381.6,9777.42,10221.1
"Feb 01, 2018",10237.3,10288.8,8812.28,9170.54
"Feb 02, 2018",9142.28,9142.28,7796.49,8830.75
"Feb 03, 2018",8852.12,9430.75,8251.63,9174.91
"Feb 04, 2018",9175.7,9334.87,8031.22,8277.01
"Feb 05, 2018",8270.54,8364.84,6756.68,6955.27
"Feb 06, 2018",7051.75,7850.7,6048.26,7754.0
"Feb 07, 2018",7755.49,8509.11,7236.79,7621.3
"Feb 08, 2018",7637.86,8558.77,7637.86,8265.59
"Feb 09, 2018",8271.84,8736.98,7884.71,8736.98
"Feb 10, 2018",8720.08,9122.55,8295.47,8621.9
"Feb 11, 2018",8616.13,8616.13,7931.1,8129.97
"Feb 12, 2018",8141.43,8985.92,8141.43,8926.57
"Feb 13, 2018",8926.72,8958.47,8455.41,8598.31
"Feb 14, 2018",8599.92,9518.54,8599.92,9494.63
"Feb 15, 2018",9488.32,10234.8,9395.58,10166.4
"Feb 16, 2018",10135.7,10324.1,9824.82,10233.9
"Feb 17, 2018",10207.5,11139.5,10149.4,11112.7
"Feb 18, 2018",11123.4,11349.8,10326.0,10551.8
"Feb 19, 2018",10552.6,11273.8,10513.2,11225.3
"Feb 20, 2018",11231.8,11958.5,11231.8,11403.7
"Feb 21, 2018",11372.2,11418.5,10479.1,10690.4
"Feb 22, 2018",10660.4,11039.1,9939.09,10005.0
"Feb 23, 2018",9937.07,10487.3,9734.56,10301.1
"Feb 24, 2018",10287.7,10597.2,9546.97,9813.07
"Feb 25, 2018",9796.42,9923.22,9407.06,9664.73
"Feb 26, 2018",9669.43,10475.0,9501.73,10366.7
"Feb 27, 2018",10393.9,10878.5,10246.1,10725.6
"Feb 28, 2018",10687.2,11089.8,10393.1,10397.9
"Mar 01, 2018",10385.0,11052.3,10352.7,10951.0
"Mar 02, 2018",10977.4,11189.0,10850.1,11086.4
"Mar 03, 2018",11101.9,11528.2,11002.4,11489.7
"Mar 04, 2018",11497.4,11512.6,11136.1,11512.6
"Mar 05, 2018",11532.4,11704.1,11443.9,11573.3
"Mar 06, 2018",11500.1,11500.1,10694.3,10779.9
"Mar 07, 2018",10803.9,10929.5,9692.12,9965.57
"Mar 08, 2018",9951.44,10147.4,9335.87,9395.01
"Mar 09, 2018",9414.69,9466.35,8513.03,9337.55
"Mar 10, 2018",9350.59,9531.32,8828.47,8866.0
"Mar 11, 2018",8852.78,9711.89,8607.12,9578.63
"Mar 12, 2018",9602.93,9937.5,8956.43,9205.12
"Mar 13, 2018",9173.04,9470.38,8958.19,9194.85
"Mar 14, 2018",9214.65,9355.85,8068.59,8269.81
"Mar 15, 2018",8290.76,8428.35,7783.05,8300.86
"Mar 16, 2018",8322.91,8585.15,8005.31,8338.35
"Mar 17, 2018",8321.91,8346.53,7812.82,7916.88
"Mar 18, 2018",7890.52,8245.51,7397.99,8223.68
"Mar 19, 2018",8344.12,8675.87,8182.4,8630.65
"Mar 20, 2018",8619.67,9051.02,8389.89,8913.47
"Mar 21, 2018",8937.48,9177.37,8846.33,8929.28
"Mar 22, 2018",8939.44,9100.71,8564.9,8728.47
"Mar 23, 2018",8736.25,8879.62,8360.62,8879.62
"Mar 24, 2018",8901.95,8996.18,8665.7,8668.12
"Mar 25, 2018",8612.81,8682.01,8449.1,8495.78
"Mar 26, 2018",8498.47,8530.08,7921.43,8209.4
"Mar 27, 2018",8200.0,8232.78,7797.28,7833.04
"Mar 28, 2018",7836.83,8122.89,7809.17,7954.48
"Mar 29, 2018",7979.07,7994.33,7081.38,7165.7
"Mar 30, 2018",7171.45,7276.66,6683.93,6890.52
"Mar 31, 2018",6892.48,7207.85,6863.52,6973.53
"Apr 01, 2018",7003.06,7060.95,6526.87,6844.23
"Apr 02, 2018",6844.86,7135.47,6816.58,7083.8
"Apr 03, 2018",7102.26,7530.94,7072.49,7456.11
"Apr 04, 2018",7456.41,7469.88,6803.88,6853.84
"Apr 05, 2018",6848.65,6933.82,6644.8,6811.47
"Apr 06, 2018",6815.96,6857.49,6575.0,6636.32
"Apr 07, 2018",6630.51,7050.54,6630.51,6911.09
"Apr 08, 2018",6919.98,7111.56,6919.98,7023.52
"Apr 09, 2018",7044.32,7178.11,6661.99,6770.73
"Apr 10, 2018",6795.44,6872.41,6704.15,6834.76
"Apr 11, 2018",6843.47,6968.32,6817.59,6968.32
"Apr 12, 2018",6955.38,7899.23,6806.51,7889.25
"Apr 13, 2018",7901.09,8183.96,7758.93,7895.96
"Apr 14, 2018",7874.67,8140.71,7846.0,7986.24
"Apr 15, 2018",7999.33,8338.42,7999.33,8329.11
"Apr 16, 2018",8337.57,8371.15,7925.73,8058.67
"Apr 17, 2018",8071.66,8285.96,7881.72,7902.09
"Apr 18, 2018",7944.43,8197.8,7886.01,8163.42
"Apr 19, 2018",8159.27,8298.69,8138.78,8294.31
"Apr 20, 2018",8286.88,8880.23,8244.54,8845.83
"Apr 21, 2018",8848.79,8997.57,8652.15,8895.58
"Apr 22, 2018",8925.06,9001.64,8779.61,8802.46
"Apr 23, 2018",8794.39,8958.55,8788.81,8930.88
"Apr 24, 2018",8934.34,9732.61,8927.83,9697.5
"Apr 25, 2018",9701.03,9745.32,8799.84,8845.74
"Apr 26, 2018",8867.32,9281.51,8727.09,9281.51
"Apr 27, 2018",9290.63,9375.47,8987.05,8987.05
"Apr 28, 2018",8939.27,9412.09,8931.99,9348.48
"Apr 29, 2018",9346.41,9531.49,9193.71,9419.08
"Apr 30, 2018",9426.11,9477.14,9166.81,9240.55
"May 01, 2018",9251.47,9255.88,8891.05,9119.01
"May 02, 2018",9104.6,9256.52,9015.14,9235.92
"May 03, 2018",9233.97,9798.33,9188.15,9743.86
"May 04, 2018",9695.5,9779.2,9585.96,9700.76
"May 05, 2018",9700.28,9964.5,9695.12,9858.15
"May 06, 2018",9845.31,9940.14,9465.25,9654.8
"May 07, 2018",9645.67,9665.85,9231.53,9373.01
"May 08, 2018",9380.87,9462.75,9127.77,9234.82
"May 09, 2018",9223.73,9374.76,9031.62,9325.18
"May 10, 2018",9325.96,9396.04,9040.52,9043.94
"May 11, 2018",9052.96,9052.96,8394.46,8441.49
"May 12, 2018",8441.44,8664.86,8223.5,8504.89
"May 13, 2018",8515.49,8773.55,8395.12,8723.94
"May 14, 2018",8713.1,8881.12,8367.97,8716.79
"May 15, 2018",8705.19,8836.19,8456.45,8510.38
"May 16, 2018",8504.41,8508.43,8175.49,8368.83
"May 17, 2018",8370.05,8445.54,8054.12,8094.32
"May 18, 2018",8091.83,8274.12,7974.82,8250.97
"May 19, 2018",8255.73,8372.06,8183.35,8247.18
"May 20, 2018",8246.99,8562.41,8205.24,8513.25
"May 21, 2018",8522.33,8557.52,8365.12,8418.99
"May 22, 2018",8419.87,8423.25,8004.58,8041.78
"May 23, 2018",8037.08,8054.66,7507.88,7557.82
"May 24, 2018",7561.12,7738.6,7331.14,7587.34
"May 25, 2018",7592.3,7659.14,7392.65,7480.14
"May 26, 2018",7486.48,7595.16,7349.12,7355.88
"May 27, 2018",7362.08,7381.74,7270.96,7368.22
"May 28, 2018",7371.31,7419.05,7100.89,7135.99
"May 29, 2018",7129.46,7526.42,7090.68,7472.59
"May 30, 2018",7469.73,7573.77,7313.6,7406.52
"May 31, 2018",7406.15,7608.9,7361.13,7494.17
"Jun 01, 2018",7500.7,7604.73,7407.34,7541.45
"Jun 02, 2018",7536.72,7695.83,7497.26,7643.45
"Jun 03, 2018",7632.09,7754.89,7613.04,7720.25
"Jun 04, 2018",7722.53,7753.82,7474.04,7514.47
"Jun 05, 2018",7500.9,7643.23,7397.0,7633.76
"Jun 06, 2018",7625.97,7680.43,7502.01,7653.98
"Jun 07, 2018",7650.82,7741.27,7650.82,7678.24
"Jun 08, 2018",7685.14,7698.19,7558.4,7624.92
"Jun 09, 2018",7632.52,7683.58,7531.98,7531.98
"Jun 10, 2018",7499.55,7499.55,6709.07,6786.02
"Jun 11, 2018",6799.29,6910.18,6706.63,6906.92
"Jun 12, 2018",6905.82,6907.96,6542.08,6582.36
"Jun 13, 2018",6596.88,6631.66,6285.63,6349.9
"Jun 14, 2018",6342.75,6707.14,6334.46,6675.35
"Jun 15, 2018",6674.08,6681.08,6433.87,6456.58
"Jun 16, 2018",6455.45,6592.49,6402.29,6550.16
"Jun 17, 2018",6545.53,6589.11,6499.27,6499.27
"Jun 18, 2018",6510.07,6781.14,6446.68,6734.82
"Jun 19, 2018",6742.39,6822.5,6709.92,6769.94
"Jun 20, 2018",6770.76,6821.56,6611.88,6776.55
"Jun 21, 2018",6780.09,6810.94,6715.17,6729.74
"Jun 22, 2018",6737.88,6747.08,6006.6,6083.69
"Jun 23, 2018",6090.1,6224.82,6071.81,6162.48
"Jun 24, 2018",6164.28,6223.78,5826.41,6173.23
"Jun 25, 2018",6171.97,6327.37,6119.68,6249.18
"Jun 26, 2018",6253.55,6290.16,6093.67,6093.67
"Jun 27, 2018",6084.4,6180.0,6052.85,6157.13
"Jun 28, 2018",6153.16,6170.41,5873.05,5903.44
"Jun 29, 2018",5898.13,6261.66,5835.75,6218.3
"Jun 30, 2018",6214.22,6465.51,6214.22,6404.0
"Jul 01, 2018",6411.68,6432.85,6289.29,6385.82
"Jul 02, 2018",6380.38,6683.86,6305.7,6614.18
"Jul 03, 2018",6596.66,6671.37,6447.75,6529.59
"Jul 04, 2018",6550.87,6771.92,6450.46,6597.55
"Jul 05, 2018",6599.71,6749.54,6546.65,6639.14
"Jul 06, 2018",6638.69,6700.94,6533.55,6673.5
"Jul 07, 2018",6668.71,6863.99,6579.24,6856.93
"Jul 08, 2018",6857.8,6885.91,6747.98,6773.88
"Jul 09, 2018",6775.08,6838.68,6724.34,6741.75
"Jul 10, 2018",6739.21,6767.74,6320.72,6329.95
"Jul 11, 2018",6330.77,6444.96,6330.47,6394.71
"Jul 12, 2018",6396.78,6397.1,6136.42,6228.81
"Jul 13, 2018",6235.03,6310.55,6192.24,6238.05
"Jul 14, 2018",6247.5,6298.19,6212.22,6276.12
"Jul 15, 2018",6272.7,6403.46,6256.51,6359.64
